"timeframe","ward2012","NumOccupiedHsgUnits","NumOccupiedHsgUnits_m","ward2012_nf","start_date","end_date","PctSameHouse5YearsAgo","PctVacantHsgUnitsForRent","PctOwnerOccupiedHsgUnits","PctVacantHUForRent_m","PctOwnerOccupiedHU_m","mprice_sf","sales_sf","MedianMrtgInc1_4m","NumMrtgOrigHomePurchPerUnit","forecl_ssl_1Kpcl_sf_condo","forecl_ssl_sf_condo","trustee_ssl_1Kpcl_sf_condo","trustee_ssl_sf_condo","permits","PctAnnChgRMPriceSf_1yr","PctAnnChgRMPriceSf_5yr","PctAnnChgRMPriceSf_10yr","MedianMrtgInc1_4m_adj","indc"
2004,"Ward 4","X",".",4,"01JAN2004","31DEC2004","X","X","X","X","X",337000,968,100389.14,47,9.8,197,0.3,7.0,".",".",".",".",".",1
2005,"Ward 4","X",".",4,"01JAN2005","31DEC2005","X","X","X","X","X",425000,876,121743.15,53,7.6,153,0.4,8.0,".",".",".",".",".",1
2006,"Ward 4","X",".",4,"01JAN2006","31DEC2006","X","X","X","X","X",465000,725,126647.99,50,9.1,185,0.7,14,".",".",".",".",".",1
2007,"Ward 4","X",".",4,"01JAN2007","31DEC2007","X","X","X","X","X",481000,577,118979.01,35,14,285,3.2,65,".",".",".",".",".",1
2008,"Ward 4","X",".",4,"01JAN2008","31DEC2008","X","X","X","X","X",475500,368,121447.05,21,27,554,8.1,167,".",".",".",".",".",1
2009,"Ward 4","X",".",4,"01JAN2009","31DEC2009","X","X","X","X","X",461125,393,111030.02,95,34,704,9.1,188,2954,".",".",".",".",1
2010,"Ward 4","X",".",4,"01JAN2010","31DEC2010","X","X","X","X","X",484250,444,113973.84,90,27,571,7.4,155,3831,".",".",".",".",1
2011,"Ward 4","X",".",4,"01JAN2011","31DEC2011","X","X","X","X","X",452500,522,115880.17,89,6.0,126,2.0,42,3797,".",".",".",".",1
2012,"Ward 4","X",".",4,"01JAN2012","31DEC2012","X","X","X","X","X",475925,618,120190.79,96,0.4,8.0,0.3,7.0,4363,".",".",".",".",1
2013,"Ward 4","X",".",4,"01JAN2013","31DEC2013","X","X","X","X","X",550000,776,135545.89,99,0.4,8.0,0.1,2.0,5292,".",".",".",".",1
2014,"Ward 4","X",".",4,"01JAN2014","31DEC2014","X","X","X","X","X",615000,666,144401.42,109,".",".",".",".",5551,".",".",".",".",1
2015,"Ward 4","X",".",4,"01JAN2015","31DEC2015","X","X","X","X","X",625000,691,148726.99,107,".",".",".",".",5826,".",".",".",".",1
2016,"Ward 4","X",".",4,"01JAN2016","31DEC2016","X","X","X","X","X",651500,761,152377.83,118,".",".",".",".",5501,".",".",".",".",1
2017,"Ward 4","X",".",4,"01JAN2017","31DEC2017","X","X","X","X","X",685000,766,157000.94,120,".",".",".",".",6000,".",".",".",".",1
2018,"Ward 4","X",".",4,"01JAN2018","31DEC2018","X","X","X","X","X",745500,728,168769.91,61,".",".",".",".",6558,".",".",".",".",1
2019,"Ward 4","X",".",4,"01JAN2019","31DEC2019","X","X","X","X","X",750000,802,".",".",".",".",".",".",".",".",".",".",".",1
1995,"Ward 5","X",".",5,"01JAN1995","31DEC1995","X","X","X","X","X",98000,467,".",".",11,189,3.4,57,".",".",".",".",".",1
1996,"Ward 5","X",".",5,"01JAN1996","31DEC1996","X","X","X","X","X",104246,494,".",".",17,277,4.6,77,".",".",".",".",".",1
1997,"Ward 5","X",".",5,"01JAN1997","31DEC1997","X","X","X","X","X",100946,564,40621.23,16,20,335,7.2,120,".",".",".",".",".",1
1998,"Ward 5","X",".",5,"01JAN1998","31DEC1998","X","X","X","X","X",106000,809,43057.06,22,25,411,9.5,158,".",".",".",".",".",1
1999,"Ward 5","X",".",5,"01JAN1999","31DEC1999","X","X","X","X","X",109000,729,45227.79,24,27,448,12,196,".",".",".",".",".",1
2000,"Ward 5","X",".",5,"01JAN2000","31DEC2000","X","X","X","X","X",124000,626,49790.52,27,25,419,9.6,159,".",".",".",".",".",1
2001,"Ward 5","X",".",5,"01JAN2001","31DEC2001","X","X","X","X","X",135000,614,53227.46,28,23,378,9.5,158,".",".",".",".",".",1
2002,"Ward 5","X",".",5,"01JAN2002","31DEC2002","X","X","X","X","X",168000,672,58312.15,33,20,330,5.7,94,".",".",".",".",".",1
2003,"Ward 5","X",".",5,"01JAN2003","31DEC2003","X","X","X","X","X",210000,674,65931.61,36,19,320,1.1,18,".",".",".",".",".",1
2004,"Ward 5","X",".",5,"01JAN2004","31DEC2004","X","X","X","X","X",265000,767,73749.29,46,15,246,0.9,15,".",".",".",".",".",1
2005,"Ward 5","X",".",5,"01JAN2005","31DEC2005","X","X","X","X","X",350000,724,88188.09,52,10,171,1.2,20,".",".",".",".",".",1
2006,"Ward 5","X",".",5,"01JAN2006","31DEC2006","X","X","X","X","X",382500,545,97843.68,48,13,229,1.6,28,".",".",".",".",".",1
2007,"Ward 5","X",".",5,"01JAN2007","31DEC2007","X","X","X","X","X",402402,542,90956.97,37,19,342,5.7,100,".",".",".",".",".",1
2008,"Ward 5","X",".",5,"01JAN2008","31DEC2008","X","X","X","X","X",372500,296,83955.95,18,31,550,11,197,".",".",".",".",".",1
2009,"Ward 5","X",".",5,"01JAN2009","31DEC2009","X","X","X","X","X",355000,275,79076.30,87,38,682,9.6,172,2933,".",".",".",".",1
2010,"Ward 5","X",".",5,"01JAN2010","31DEC2010","X","X","X","X","X",345000,345,84982.22,83,34,604,10,180,3834,".",".",".",".",1
2011,"Ward 5","X",".",5,"01JAN2011","31DEC2011","X","X","X","X","X",349000,441,88599.12,84,3.9,71,2.9,53,4345,".",".",".",".",1
2012,"Ward 5","X",".",5,"01JAN2012","31DEC2012","X","X","X","X","X",398930,564,95778.38,92,0.3,5.0,0.6,11,5457,".",".",".",".",1
2013,"Ward 5","X",".",5,"01JAN2013","31DEC2013","X","X","X","X","X",450000,719,102200.52,106,0.3,6.0,0.3,5.0,5865,".",".",".",".",1
2014,"Ward 5","X",".",5,"01JAN2014","31DEC2014","X","X","X","X","X",493855,611,111126.69,112,".",".",".",".",6217,".",".",".",".",1
2015,"Ward 5","X",".",5,"01JAN2015","31DEC2015","X","X","X","X","X",529450,610,125980.50,113,".",".",".",".",6575,".",".",".",".",1
2016,"Ward 5","X",".",5,"01JAN2016","31DEC2016","X","X","X","X","X",567500,678,125073.05,125,".",".",".",".",6550,".",".",".",".",1
