"timeframe","Zip","NumOccupiedHsgUnits","zip_nf","start_date","end_date","PctSameHouse5YearsAgo","PctVacantHsgUnitsForRent","PctOwnerOccupiedHsgUnits","PctVacantHUForRent_m","PctOwnerOccupiedHU_m","mprice_sf","sales_sf","MedianMrtgInc1_4m_adj","NumMrtgOrigHomePurchPerUnit","PctSubprimeConvOrigHomePur","forecl_ssl_1Kpcl_sf_condo","forecl_ssl_sf_condo","trustee_ssl_1Kpcl_sf_condo","trustee_ssl_sf_condo","PctAnnChgRMPriceSf_1yr","PctAnnChgRMPriceSf_5yr","PctAnnChgRMPriceSf_10yr","indc"
2013,"ZIP 20001",".",20001,"01JAN2013","31DEC2013",".",".",".",".",".",628975,196,123949,173,0.1,0.4,4.0,0.2,2.0,".",".",".",1
2014,"ZIP 20001",".",20001,"01JAN2014","31DEC2014",".",".",".",".",".",659500,145,123949,173,0.1,0.4,4.0,0.2,2.0,".",".",".",1
2015,"ZIP 20001",".",20001,"01JAN2015","31DEC2015",".",".",".",".",".",763000,146,123949,173,0.1,0.4,4.0,0.2,2.0,".",".",".",1
2016,"ZIP 20001",".",20001,"01JAN2016","31DEC2016",".",".",".",".",".",760000,148,123949,173,0.1,0.4,4.0,0.2,2.0,".",".",".",1
1995,"ZIP 20002",".",20002,"01JAN1995","31DEC1995",".",".",".",".",".",89950,406,57544,29,0.1,15,170,4.6,52,".",".",".",1
1996,"ZIP 20002",".",20002,"01JAN1996","31DEC1996",".",".",".",".",".",89500,456,65125,44,0.2,19,220,6.6,75,".",".",".",1
1997,"ZIP 20002",".",20002,"01JAN1997","31DEC1997",".",".",".",".",".",95000,528,65094,54,0.1,24,275,11,121,".",".",".",1
1998,"ZIP 20002",".",20002,"01JAN1998","31DEC1998",".",".",".",".",".",100000,770,73402,57,0.1,27,302,12,140,".",".",".",1
1999,"ZIP 20002",".",20002,"01JAN1999","31DEC1999",".",".",".",".",".",108837,756,78125,56,0.1,30,339,13,148,".",".",".",1
2000,"ZIP 20002",".",20002,"01JAN2000","31DEC2000",".",".",".",".",".",128750,615,86673,65,0.0,24,277,12,138,".",".",".",1
2001,"ZIP 20002",".",20002,"01JAN2001","31DEC2001",".",".",".",".",".",147500,624,90276,70,0.1,27,307,12,135,".",".",".",1
2002,"ZIP 20002",".",20002,"01JAN2002","31DEC2002",".",".",".",".",".",185000,640,95018,89,0.1,24,274,7.9,90,".",".",".",1
2003,"ZIP 20002",".",20002,"01JAN2003","31DEC2003",".",".",".",".",".",240000,623,107796,92,0.2,22,247,1.1,13,".",".",".",1
2004,"ZIP 20002",".",20002,"01JAN2004","31DEC2004",".",".",".",".",".",299955,712,117864,76,0.1,14,163,2.1,24,".",".",".",1
2005,"ZIP 20002",".",20002,"01JAN2005","31DEC2005",".",".",".",".",".",399000,753,117864,76,0.1,10,118,1.8,21,".",".",".",1
2006,"ZIP 20002",".",20002,"01JAN2006","31DEC2006",".",".",".",".",".",410000,537,117864,76,0.1,12,142,1.9,22,".",".",".",1
2007,"ZIP 20002",".",20002,"01JAN2007","31DEC2007",".",".",".",".",".",420000,429,117864,76,0.1,21,247,6.5,77,".",".",".",1
2008,"ZIP 20002",".",20002,"01JAN2008","31DEC2008",".",".",".",".",".",418250,256,117864,76,0.1,31,380,11,138,".",".",".",1
2009,"ZIP 20002",".",20002,"01JAN2009","31DEC2009",".",".",".",".",".",425000,280,117864,76,0.1,35,444,11,133,".",".",".",1
2010,"ZIP 20002",".",20002,"01JAN2010","31DEC2010",".",".",".",".",".",440000,377,117864,76,0.1,67,851,48,604,".",".",".",1
2011,"ZIP 20002",".",20002,"01JAN2011","31DEC2011",".",".",".",".",".",425000,451,117864,76,0.1,5.3,68,2.4,31,".",".",".",1
2012,"ZIP 20002",".",20002,"01JAN2012","31DEC2012",".",".",".",".",".",460000,500,117864,76,0.1,0.2,2.0,0.4,5.0,".",".",".",1
2013,"ZIP 20002",".",20002,"01JAN2013","31DEC2013",".",".",".",".",".",530000,578,117864,76,0.1,0.3,4.0,0.5,7.0,".",".",".",1
2014,"ZIP 20002",".",20002,"01JAN2014","31DEC2014",".",".",".",".",".",590000,445,117864,76,0.1,0.3,4.0,0.5,7.0,".",".",".",1
2015,"ZIP 20002",".",20002,"01JAN2015","31DEC2015",".",".",".",".",".",640000,456,117864,76,0.1,0.3,4.0,0.5,7.0,".",".",".",1
2016,"ZIP 20002",".",20002,"01JAN2016","31DEC2016",".",".",".",".",".",643100,503,117864,76,0.1,0.3,4.0,0.5,7.0,".",".",".",1
