"timeframe","Geo2010","NumOccupiedHsgUnits","geo2010_nf","start_date","end_date","PctSameHouse5YearsAgo","PctVacantHsgUnitsForRent","PctOwnerOccupiedHsgUnits","PctVacantHUForRent_m","PctOwnerOccupiedHU_m","mprice_sf","sales_sf","MedianMrtgInc1_4m_adj","NumMrtgOrigHomePurchPerUnit","PctSubprimeConvOrigHomePur","forecl_ssl_1Kpcl_sf_condo","forecl_ssl_sf_condo","trustee_ssl_1Kpcl_sf_condo","trustee_ssl_sf_condo","PctAnnChgRMPriceSf_1yr","PctAnnChgRMPriceSf_5yr","PctAnnChgRMPriceSf_10yr","indc"
"2012-16","DC Tract 81",1446.00,11001008100,"01JAN2011","31DEC2015",".",6.3861,55.394,7.339,4.924,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 82",1428.00,11001008200,"01JAN2011","31DEC2015",".",7.6832,45.308,7.385,5.785,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 83.01",1021.00,11001008301,"01JAN2011","31DEC2015",".",17.2355,52.498,12.086,7.701,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 83.02",962.00,11001008302,"01JAN2011","31DEC2015",".",7.4492,57.380,8.272,5.306,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 84.02",1167.00,11001008402,"01JAN2011","31DEC2015",".",3.3133,44.987,5.097,6.216,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 84.10",561.00,11001008410,"01JAN2011","31DEC2015",".",10.9375,59.358,9.488,10.119,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 87.01",989.00,11001008701,"01JAN2011","31DEC2015",".",13.0795,46.916,8.473,8.442,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 87.02",848.00,11001008702,"01JAN2011","31DEC2015",".",3.7344,45.283,3.263,6.906,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 88.02",1864.00,11001008802,"01JAN2011","31DEC2015",".",8.1081,50.751,6.393,5.834,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 88.03",573.00,11001008803,"01JAN2011","31DEC2015",".",1.7751,13.089,2.951,7.036,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 88.04",1176.00,11001008804,"01JAN2011","31DEC2015",".",12.8733,28.061,7.873,8.036,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 89.03",1458.00,11001008903,"01JAN2011","31DEC2015",".",6.9579,21.125,4.540,4.741,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 89.04",1671.00,11001008904,"01JAN2011","31DEC2015",".",11.0710,11.550,5.672,4.090,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 90",1808.00,11001009000,"01JAN2011","31DEC2015",".",5.5291,45.188,5.496,4.767,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 91.02",2076.00,11001009102,"01JAN2011","31DEC2015",".",3.1480,30.347,3.742,3.887,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 92.01",905.00,11001009201,"01JAN2011","31DEC2015",".",10.5600,38.232,7.660,8.213,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 92.03",1048.00,11001009203,"01JAN2011","31DEC2015",".",11.9608,57.156,13.811,7.915,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 92.04",1314.00,11001009204,"01JAN2011","31DEC2015",".",2.8351,13.927,3.253,4.794,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 93.01",1250.00,11001009301,"01JAN2011","31DEC2015",".",0.0000,77.280,4.225,8.143,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 93.02",509.00,11001009302,"01JAN2011","31DEC2015",".",0.0000,69.548,7.742,7.433,".",".",".",".",".",".",".",".",".",".",".",".",1
"2012-16","DC Tract 94",1699.00,11001009400,"01JAN2011","31DEC2015",".",6.2323,80.518,9.762,4.425,".",".",".",".",".",".",".",".",".",".",".",".",1
