"start_date","end_date","Zip","timeframe","ZIP_nf","Crimes_pt1_property_per1000","Crimes_pt1_violent_per1000","indc"
"01JAN2015","31DEC2015","ZIP 20012",2015,20012,49,5.8,1
"01JAN2016","31DEC2016","ZIP 20012",2016,20012,40,6.4,1
"01JAN2000","31DEC2000","ZIP 20015",2000,20015,31,2.4,1
"01JAN2001","31DEC2001","ZIP 20015",2001,20015,28,3.7,1
"01JAN2002","31DEC2002","ZIP 20015",2002,20015,27,2.3,1
"01JAN2003","31DEC2003","ZIP 20015",2003,20015,32,2.7,1
"01JAN2004","31DEC2004","ZIP 20015",2004,20015,27,2.7,1
"01JAN2005","31DEC2005","ZIP 20015",2005,20015,24,1.7,1
"01JAN2006","31DEC2006","ZIP 20015",2006,20015,19,1.8,1
"01JAN2007","31DEC2007","ZIP 20015",2007,20015,24,1.5,1
"01JAN2008","31DEC2008","ZIP 20015",2008,20015,24,1.4,1
"01JAN2009","31DEC2009","ZIP 20015",2009,20015,31,1.3,1
"01JAN2010","31DEC2010","ZIP 20015",2010,20015,25,1.2,1
"01JAN2011","31DEC2011","ZIP 20015",2011,20015,24,1.9,1
"01JAN2012","31DEC2012","ZIP 20015",2012,20015,26,1.0,1
"01JAN2013","31DEC2013","ZIP 20015",2013,20015,34,0.6,1
"01JAN2014","31DEC2014","ZIP 20015",2014,20015,31,1.6,1
"01JAN2015","31DEC2015","ZIP 20015",2015,20015,28,1.0,1
"01JAN2016","31DEC2016","ZIP 20015",2016,20015,29,1.3,1
"01JAN2000","31DEC2000","ZIP 20016",2000,20016,28,2.4,1
"01JAN2001","31DEC2001","ZIP 20016",2001,20016,27,2.4,1
"01JAN2002","31DEC2002","ZIP 20016",2002,20016,24,2.1,1
"01JAN2003","31DEC2003","ZIP 20016",2003,20016,24,1.3,1
"01JAN2004","31DEC2004","ZIP 20016",2004,20016,22,1.4,1
"01JAN2005","31DEC2005","ZIP 20016",2005,20016,21,1.5,1
"01JAN2006","31DEC2006","ZIP 20016",2006,20016,17,1.7,1
"01JAN2007","31DEC2007","ZIP 20016",2007,20016,20,1.7,1
"01JAN2008","31DEC2008","ZIP 20016",2008,20016,23,1.5,1
"01JAN2009","31DEC2009","ZIP 20016",2009,20016,23,1.5,1
