"start_date","end_date","Cluster_tr2000","timeframe","CLUSTER_TR2000_nf","Crimes_pt1_property_per1000","Crimes_pt1_violent_per1000","indc"
"01JAN2002","31DEC2002","Cluster 20",2002,20,31.793,7.4184,1
"01JAN2003","31DEC2003","Cluster 20",2003,20,31.817,6.7265,1
"01JAN2004","31DEC2004","Cluster 20",2004,20,27.754,6.3468,1
"01JAN2005","31DEC2005","Cluster 20",2005,20,33.492,9.5383,1
"01JAN2006","31DEC2006","Cluster 20",2006,20,28.509,9.2845,1
"01JAN2007","31DEC2007","Cluster 20",2007,20,26.527,9.3561,1
"01JAN2008","31DEC2008","Cluster 20",2008,20,28.508,6.8774,1
"01JAN2009","31DEC2009","Cluster 20",2009,20,27.949,6.5959,1
"01JAN2010","31DEC2010","Cluster 20",2010,20,27.831,6.9859,1
"01JAN2011","31DEC2011","Cluster 20",2011,20,31.775,5.7465,1
"01JAN2012","31DEC2012","Cluster 20",2012,20,37.296,7.4366,1
"01JAN2013","31DEC2013","Cluster 20",2013,20,33.352,7.0986,1
"01JAN2014","31DEC2014","Cluster 20",2014,20,46.535,5.8592,1
"01JAN2015","31DEC2015","Cluster 20",2015,20,39.099,5.2958,1
"01JAN2016","31DEC2016","Cluster 20",2016,20,29.296,5.7465,1
"01JAN2000","31DEC2000","Cluster 21",2000,21,43.356,18.6120,1
"01JAN2001","31DEC2001","Cluster 21",2001,21,46.995,21.0964,1
"01JAN2002","31DEC2002","Cluster 21",2002,21,48.447,17.6512,1
"01JAN2003","31DEC2003","Cluster 21",2003,21,57.935,18.1915,1
"01JAN2004","31DEC2004","Cluster 21",2004,21,52.095,16.7639,1
"01JAN2005","31DEC2005","Cluster 21",2005,21,42.944,18.1482,1
"01JAN2006","31DEC2006","Cluster 21",2006,21,36.044,17.5761,1
"01JAN2007","31DEC2007","Cluster 21",2007,21,51.187,14.7143,1
"01JAN2008","31DEC2008","Cluster 21",2008,21,41.825,14.0107,1
"01JAN2009","31DEC2009","Cluster 21",2009,21,39.172,16.3604,1
"01JAN2010","31DEC2010","Cluster 21",2010,21,39.372,14.4756,1
"01JAN2011","31DEC2011","Cluster 21",2011,21,42.606,13.9110,1
"01JAN2012","31DEC2012","Cluster 21",2012,21,52.205,13.6030,1
"01JAN2013","31DEC2013","Cluster 21",2013,21,40.193,10.7797,1
"01JAN2014","31DEC2014","Cluster 21",2014,21,55.695,11.3957,1
"01JAN2015","31DEC2015","Cluster 21",2015,21,51.486,12.0117,1
"01JAN2016","31DEC2016","Cluster 21",2016,21,46.096,13.2437,1
"01JAN2000","31DEC2000","Cluster 22",2000,22,67.033,20.9971,1
