"start_date","end_date","anc2012","timeframe","anc2012_nf","Crimes_pt1_property_per1000","Crimes_pt1_violent_per1000","indc"
"01JAN2003","31DEC2003","ANC 3E",2003,"3E",58,5.2,1
"01JAN2004","31DEC2004","ANC 3E",2004,"3E",57,4.5,1
"01JAN2005","31DEC2005","ANC 3E",2005,"3E",45,4.6,1
"01JAN2006","31DEC2006","ANC 3E",2006,"3E",38,4.8,1
"01JAN2007","31DEC2007","ANC 3E",2007,"3E",50,4.9,1
"01JAN2008","31DEC2008","ANC 3E",2008,"3E",58,4.0,1
"01JAN2009","31DEC2009","ANC 3E",2009,"3E",58,4.4,1
"01JAN2010","31DEC2010","ANC 3E",2010,"3E",49,4.8,1
"01JAN2011","31DEC2011","ANC 3E",2011,"3E",47,3.5,1
"01JAN2012","31DEC2012","ANC 3E",2012,"3E",49,2.8,1
"01JAN2013","31DEC2013","ANC 3E",2013,"3E",67,2.3,1
"01JAN2014","31DEC2014","ANC 3E",2014,"3E",58,2.9,1
"01JAN2015","31DEC2015","ANC 3E",2015,"3E",58,2.6,1
"01JAN2016","31DEC2016","ANC 3E",2016,"3E",45,2.9,1
"01JAN2017","31DEC2017","ANC 3E",2017,"3E",43,1.7,1
"01JAN2018","31DEC2018","ANC 3E",2018,"3E",56,2.5,1
"01JAN2019","31DEC2019","ANC 3E",2019,"3E",55,2.4,1
"01JAN2000","31DEC2000","ANC 3F",2000,"3F",30,2.2,1
"01JAN2001","31DEC2001","ANC 3F",2001,"3F",28,2.6,1
"01JAN2002","31DEC2002","ANC 3F",2002,"3F",26,2.5,1
"01JAN2003","31DEC2003","ANC 3F",2003,"3F",25,1.4,1
"01JAN2004","31DEC2004","ANC 3F",2004,"3F",26,1.1,1
"01JAN2005","31DEC2005","ANC 3F",2005,"3F",21,1.2,1
"01JAN2006","31DEC2006","ANC 3F",2006,"3F",19,1.4,1
"01JAN2007","31DEC2007","ANC 3F",2007,"3F",21,1.3,1
"01JAN2008","31DEC2008","ANC 3F",2008,"3F",24,0.9,1
"01JAN2009","31DEC2009","ANC 3F",2009,"3F",21,1.3,1
"01JAN2010","31DEC2010","ANC 3F",2010,"3F",17,1.3,1
"01JAN2011","31DEC2011","ANC 3F",2011,"3F",21,1.0,1
"01JAN2012","31DEC2012","ANC 3F",2012,"3F",19,1.0,1
"01JAN2013","31DEC2013","ANC 3F",2013,"3F",19,1.2,1
"01JAN2014","31DEC2014","ANC 3F",2014,"3F",21,0.9,1
"01JAN2015","31DEC2015","ANC 3F",2015,"3F",22,1.1,1
"01JAN2016","31DEC2016","ANC 3F",2016,"3F",16,1.0,1
"01JAN2017","31DEC2017","ANC 3F",2017,"3F",16,0.8,1
"01JAN2018","31DEC2018","ANC 3F",2018,"3F",19,1.3,1
"01JAN2019","31DEC2019","ANC 3F",2019,"3F",21,1.3,1
"01JAN2000","31DEC2000","ANC 3G",2000,"3G",19,1.3,1
"01JAN2001","31DEC2001","ANC 3G",2001,"3G",18,2.5,1
"01JAN2002","31DEC2002","ANC 3G",2002,"3G",17,1.8,1
"01JAN2003","31DEC2003","ANC 3G",2003,"3G",21,1.6,1
"01JAN2004","31DEC2004","ANC 3G",2004,"3G",15,1.7,1
"01JAN2005","31DEC2005","ANC 3G",2005,"3G",16,0.8,1
"01JAN2006","31DEC2006","ANC 3G",2006,"3G",12,1.0,1
"01JAN2007","31DEC2007","ANC 3G",2007,"3G",14,1.0,1
"01JAN2008","31DEC2008","ANC 3G",2008,"3G",14,1.0,1
"01JAN2009","31DEC2009","ANC 3G",2009,"3G",20,0.9,1
"01JAN2010","31DEC2010","ANC 3G",2010,"3G",17,0.6,1
"01JAN2011","31DEC2011","ANC 3G",2011,"3G",16,1.2,1
"01JAN2012","31DEC2012","ANC 3G",2012,"3G",18,0.8,1
"01JAN2013","31DEC2013","ANC 3G",2013,"3G",24,0.6,1
"01JAN2014","31DEC2014","ANC 3G",2014,"3G",21,1.3,1
"01JAN2015","31DEC2015","ANC 3G",2015,"3G",16,0.8,1
"01JAN2016","31DEC2016","ANC 3G",2016,"3G",18,1.0,1
"01JAN2017","31DEC2017","ANC 3G",2017,"3G",15,0.7,1
"01JAN2018","31DEC2018","ANC 3G",2018,"3G",20,0.2,1
"01JAN2019","31DEC2019","ANC 3G",2019,"3G",18,0.4,1
"01JAN2000","31DEC2000","ANC 4A",2000,"4A",36,6.0,1
"01JAN2001","31DEC2001","ANC 4A",2001,"4A",39,6.4,1
"01JAN2002","31DEC2002","ANC 4A",2002,"4A",45,7.7,1
"01JAN2003","31DEC2003","ANC 4A",2003,"4A",42,11,1
"01JAN2004","31DEC2004","ANC 4A",2004,"4A",35,8.8,1
"01JAN2005","31DEC2005","ANC 4A",2005,"4A",32,7.5,1
"01JAN2006","31DEC2006","ANC 4A",2006,"4A",26,7.3,1
"01JAN2007","31DEC2007","ANC 4A",2007,"4A",31,12,1
"01JAN2008","31DEC2008","ANC 4A",2008,"4A",32,8.9,1
"01JAN2009","31DEC2009","ANC 4A",2009,"4A",31,7.5,1
"01JAN2010","31DEC2010","ANC 4A",2010,"4A",27,7.0,1
"01JAN2011","31DEC2011","ANC 4A",2011,"4A",29,4.6,1
"01JAN2012","31DEC2012","ANC 4A",2012,"4A",36,8.7,1
"01JAN2013","31DEC2013","ANC 4A",2013,"4A",35,6.8,1
"01JAN2014","31DEC2014","ANC 4A",2014,"4A",56,5.6,1
"01JAN2015","31DEC2015","ANC 4A",2015,"4A",45,7.6,1
"01JAN2016","31DEC2016","ANC 4A",2016,"4A",36,6.7,1
"01JAN2017","31DEC2017","ANC 4A",2017,"4A",36,3.7,1
"01JAN2018","31DEC2018","ANC 4A",2018,"4A",41,4.3,1
"01JAN2019","31DEC2019","ANC 4A",2019,"4A",43,3.8,1
"01JAN2000","31DEC2000","ANC 4B",2000,"4B",40,9.9,1
"01JAN2001","31DEC2001","ANC 4B",2001,"4B",43,8.3,1
"01JAN2002","31DEC2002","ANC 4B",2002,"4B",47,11,1
"01JAN2003","31DEC2003","ANC 4B",2003,"4B",44,13,1
"01JAN2004","31DEC2004","ANC 4B",2004,"4B",36,13,1
"01JAN2005","31DEC2005","ANC 4B",2005,"4B",39,11,1
"01JAN2006","31DEC2006","ANC 4B",2006,"4B",32,11,1
"01JAN2007","31DEC2007","ANC 4B",2007,"4B",35,12,1
"01JAN2008","31DEC2008","ANC 4B",2008,"4B",34,11,1
"01JAN2009","31DEC2009","ANC 4B",2009,"4B",34,11,1
"01JAN2010","31DEC2010","ANC 4B",2010,"4B",37,8.3,1
"01JAN2011","31DEC2011","ANC 4B",2011,"4B",40,8.5,1
"01JAN2012","31DEC2012","ANC 4B",2012,"4B",34,8.4,1
"01JAN2013","31DEC2013","ANC 4B",2013,"4B",39,7.9,1
"01JAN2014","31DEC2014","ANC 4B",2014,"4B",47,7.2,1
"01JAN2015","31DEC2015","ANC 4B",2015,"4B",46,7.3,1
"01JAN2016","31DEC2016","ANC 4B",2016,"4B",41,6.0,1
"01JAN2017","31DEC2017","ANC 4B",2017,"4B",37,4.4,1
"01JAN2018","31DEC2018","ANC 4B",2018,"4B",51,4.3,1
"01JAN2019","31DEC2019","ANC 4B",2019,"4B",42,3.3,1
"01JAN2000","31DEC2000","ANC 4C",2000,"4C",43,13,1
"01JAN2001","31DEC2001","ANC 4C",2001,"4C",40,9.3,1
"01JAN2002","31DEC2002","ANC 4C",2002,"4C",49,13,1
"01JAN2003","31DEC2003","ANC 4C",2003,"4C",41,15,1
"01JAN2004","31DEC2004","ANC 4C",2004,"4C",40,14,1
"01JAN2005","31DEC2005","ANC 4C",2005,"4C",35,14,1
"01JAN2006","31DEC2006","ANC 4C",2006,"4C",30,14,1
"01JAN2007","31DEC2007","ANC 4C",2007,"4C",37,16,1
"01JAN2008","31DEC2008","ANC 4C",2008,"4C",32,15,1
"01JAN2009","31DEC2009","ANC 4C",2009,"4C",32,15,1
"01JAN2010","31DEC2010","ANC 4C",2010,"4C",33,13,1
"01JAN2011","31DEC2011","ANC 4C",2011,"4C",32,10,1
"01JAN2012","31DEC2012","ANC 4C",2012,"4C",38,12,1
"01JAN2013","31DEC2013","ANC 4C",2013,"4C",44,13,1
"01JAN2014","31DEC2014","ANC 4C",2014,"4C",49,11,1
"01JAN2015","31DEC2015","ANC 4C",2015,"4C",44,11,1
