"start_date","end_date","geo2010","timeframe","geo2010_nf","Pct_births_low_wt","Pct_births_teen","ucounty","indc"
"01JAN2016","31DEC2016","DC Tract 38",2016,11001003800,6.9,1.4,"District of Columbia",1
"01JAN2003","31DEC2003","DC Tract 39",2003,11001003900,10,7.7,"District of Columbia",1
"01JAN2004","31DEC2004","DC Tract 39",2004,11001003900,5.6,2.8,"District of Columbia",1
"01JAN2005","31DEC2005","DC Tract 39",2005,11001003900,7.7,7.7,"District of Columbia",1
"01JAN2006","31DEC2006","DC Tract 39",2006,11001003900,2.3,2.3,"District of Columbia",1
"01JAN2007","31DEC2007","DC Tract 39",2007,11001003900,2.0,8.0,"District of Columbia",1
"01JAN2008","31DEC2008","DC Tract 39",2008,11001003900,4.3,4.3,"District of Columbia",1
"01JAN2009","31DEC2009","DC Tract 39",2009,11001003900,10,0.0,"District of Columbia",1
"01JAN2010","31DEC2010","DC Tract 39",2010,11001003900,4.9,1.6,"District of Columbia",1
"01JAN2011","31DEC2011","DC Tract 39",2011,11001003900,0.0,2.5,"District of Columbia",1
"01JAN2012","31DEC2012","DC Tract 39",2012,11001003900,0.0,0.0,"District of Columbia",1
"01JAN2013","31DEC2013","DC Tract 39",2013,11001003900,4.3,2.1,"District of Columbia",1
"01JAN2014","31DEC2014","DC Tract 39",2014,11001003900,6.0,0.0,"District of Columbia",1
"01JAN2015","31DEC2015","DC Tract 39",2015,11001003900,4.5,0.0,"District of Columbia",1
"01JAN2016","31DEC2016","DC Tract 39",2016,11001003900,7.4,1.9,"District of Columbia",1
"01JAN2003","31DEC2003","DC Tract 40.01",2003,11001004001,3.8,0.0,"District of Columbia",1
"01JAN2004","31DEC2004","DC Tract 40.01",2004,11001004001,9.5,0.0,"District of Columbia",1
"01JAN2005","31DEC2005","DC Tract 40.01",2005,11001004001,9.1,0.0,"District of Columbia",1
"01JAN2006","31DEC2006","DC Tract 40.01",2006,11001004001,9.1,0.0,"District of Columbia",1
"01JAN2007","31DEC2007","DC Tract 40.01",2007,11001004001,14,2.8,"District of Columbia",1
"01JAN2008","31DEC2008","DC Tract 40.01",2008,11001004001,9.7,6.5,"District of Columbia",1
"01JAN2009","31DEC2009","DC Tract 40.01",2009,11001004001,0.0,0.0,"District of Columbia",1
"01JAN2010","31DEC2010","DC Tract 40.01",2010,11001004001,5.1,0.0,"District of Columbia",1
"01JAN2011","31DEC2011","DC Tract 40.01",2011,11001004001,11,0.0,"District of Columbia",1
"01JAN2012","31DEC2012","DC Tract 40.01",2012,11001004001,12,0.0,"District of Columbia",1
"01JAN2013","31DEC2013","DC Tract 40.01",2013,11001004001,11,0.0,"District of Columbia",1
"01JAN2014","31DEC2014","DC Tract 40.01",2014,11001004001,7.7,0.0,"District of Columbia",1
"01JAN2015","31DEC2015","DC Tract 40.01",2015,11001004001,4.9,0.0,"District of Columbia",1
"01JAN2016","31DEC2016","DC Tract 40.01",2016,11001004001,5.0,0.0,"District of Columbia",1
"01JAN2003","31DEC2003","DC Tract 40.02",2003,11001004002,15,0.0,"District of Columbia",1
"01JAN2004","31DEC2004","DC Tract 40.02",2004,11001004002,5.0,0.0,"District of Columbia",1
"01JAN2005","31DEC2005","DC Tract 40.02",2005,11001004002,13,0.0,"District of Columbia",1
