start_date,end_date,cluster2017,timeframe,cluster2017_nf,Pct_births_low_wt,Pct_births_teen,indc
1-Jan-11,31-Dec-11,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",2011,Cluster 9,7.8,14,1
1-Jan-98,31-Dec-98,"Hawthorne, Barnaby Woods, Chevy Chase",1998,Cluster 10,6.7,0,1
1-Jan-99,31-Dec-99,"Hawthorne, Barnaby Woods, Chevy Chase",1999,Cluster 10,6.2,1.9,1
1-Jan-00,31-Dec-00,"Hawthorne, Barnaby Woods, Chevy Chase",2000,Cluster 10,7.5,0,1
1-Jan-01,31-Dec-01,"Hawthorne, Barnaby Woods, Chevy Chase",2001,Cluster 10,6.7,0.8,1
1-Jan-02,31-Dec-02,"Hawthorne, Barnaby Woods, Chevy Chase",2002,Cluster 10,4.8,0,1
1-Jan-03,31-Dec-03,"Hawthorne, Barnaby Woods, Chevy Chase",2003,Cluster 10,8.2,0.2,1
1-Jan-04,31-Dec-04,"Hawthorne, Barnaby Woods, Chevy Chase",2004,Cluster 10,6.6,0.4,1
1-Jan-05,31-Dec-05,"Hawthorne, Barnaby Woods, Chevy Chase",2005,Cluster 10,10,0.5,1
1-Jan-06,31-Dec-06,"Hawthorne, Barnaby Woods, Chevy Chase",2006,Cluster 10,5.3,0,1
1-Jan-07,31-Dec-07,"Hawthorne, Barnaby Woods, Chevy Chase",2007,Cluster 10,8.7,0,1
1-Jan-08,31-Dec-08,"Hawthorne, Barnaby Woods, Chevy Chase",2008,Cluster 10,6.7,0.8,1
1-Jan-09,31-Dec-09,"Hawthorne, Barnaby Woods, Chevy Chase",2009,Cluster 10,6.3,0,1
1-Jan-10,31-Dec-10,"Hawthorne, Barnaby Woods, Chevy Chase",2010,Cluster 10,4.9,0.6,1
1-Jan-11,31-Dec-11,"Hawthorne, Barnaby Woods, Chevy Chase",2011,Cluster 10,5.5,0.5,1
1-Jan-98,31-Dec-98,"Friendship Heights, American University Park, Tenleytown",1998,Cluster 11,6.4,0,1
1-Jan-99,31-Dec-99,"Friendship Heights, American University Park, Tenleytown",1999,Cluster 11,5.5,0,1
1-Jan-00,31-Dec-00,"Friendship Heights, American University Park, Tenleytown",2000,Cluster 11,6.8,0,1
1-Jan-01,31-Dec-01,"Friendship Heights, American University Park, Tenleytown",2001,Cluster 11,7.7,1.3,1
1-Jan-02,31-Dec-02,"Friendship Heights, American University Park, Tenleytown",2002,Cluster 11,6.1,0,1
1-Jan-03,31-Dec-03,"Friendship Heights, American University Park, Tenleytown",2003,Cluster 11,4.5,0.3,1
1-Jan-04,31-Dec-04,"Friendship Heights, American University Park, Tenleytown",2004,Cluster 11,3.2,0.3,1
1-Jan-05,31-Dec-05,"Friendship Heights, American University Park, Tenleytown",2005,Cluster 11,6.4,0,1
1-Jan-06,31-Dec-06,"Friendship Heights, American University Park, Tenleytown",2006,Cluster 11,7.8,0,1
1-Jan-07,31-Dec-07,"Friendship Heights, American University Park, Tenleytown",2007,Cluster 11,3.3,1,1
1-Jan-08,31-Dec-08,"Friendship Heights, American University Park, Tenleytown",2008,Cluster 11,9.6,0.6,1
1-Jan-09,31-Dec-09,"Friendship Heights, American University Park, Tenleytown",2009,Cluster 11,5.6,0.3,1
1-Jan-10,31-Dec-10,"Friendship Heights, American University Park, Tenleytown",2010,Cluster 11,3,0,1
1-Jan-11,31-Dec-11,"Friendship Heights, American University Park, Tenleytown",2011,Cluster 11,8.3,0,1
1-Jan-98,31-Dec-98,"North Cleveland Park, Forest Hills, Van Ness",1998,Cluster 12,3.3,0.1,1
1-Jan-99,31-Dec-99,"North Cleveland Park, Forest Hills, Van Ness",1999,Cluster 12,8.1,0.1,1
1-Jan-00,31-Dec-00,"North Cleveland Park, Forest Hills, Van Ness",2000,Cluster 12,7.9,0,1
1-Jan-01,31-Dec-01,"North Cleveland Park, Forest Hills, Van Ness",2001,Cluster 12,11,0.6,1
1-Jan-02,31-Dec-02,"North Cleveland Park, Forest Hills, Van Ness",2002,Cluster 12,6.2,0.1,1
1-Jan-03,31-Dec-03,"North Cleveland Park, Forest Hills, Van Ness",2003,Cluster 12,4.4,0,1
1-Jan-04,31-Dec-04,"North Cleveland Park, Forest Hills, Van Ness",2004,Cluster 12,3.3,0.6,1
1-Jan-05,31-Dec-05,"North Cleveland Park, Forest Hills, Van Ness",2005,Cluster 12,11,0,1
1-Jan-06,31-Dec-06,"North Cleveland Park, Forest Hills, Van Ness",2006,Cluster 12,8.6,0,1
1-Jan-07,31-Dec-07,"North Cleveland Park, Forest Hills, Van Ness",2007,Cluster 12,7.4,0.6,1
1-Jan-08,31-Dec-08,"North Cleveland Park, Forest Hills, Van Ness",2008,Cluster 12,8.8,0.6,1
1-Jan-09,31-Dec-09,"North Cleveland Park, Forest Hills, Van Ness",2009,Cluster 12,6,0.7,1
1-Jan-10,31-Dec-10,"North Cleveland Park, Forest Hills, Van Ness",2010,Cluster 12,7.9,0,1
1-Jan-11,31-Dec-11,"North Cleveland Park, Forest Hills, Van Ness",2011,Cluster 12,10,0,1
1-Jan-98,31-Dec-98,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",1998,Cluster 13,3.9,1.4,1
1-Jan-99,31-Dec-99,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",1999,Cluster 13,10,0.7,1
1-Jan-00,31-Dec-00,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",2000,Cluster 13,9.9,1.5,1
1-Jan-01,31-Dec-01,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",2001,Cluster 13,4.3,0.3,1
1-Jan-02,31-Dec-02,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",2002,Cluster 13,9.5,0,1
