"start_date","end_date","Cluster_tr2000","timeframe","CLUSTER_TR2000_nf","Pct_births_low_wt","Pct_births_teen","indc"
"01JAN2002","31DEC2002","Cluster 12",2002,12,0.06613,0.00000,1
"01JAN2003","31DEC2003","Cluster 12",2003,12,0.04789,0.00000,1
"01JAN2004","31DEC2004","Cluster 12",2004,12,0.02430,0.00589,1
"01JAN2005","31DEC2005","Cluster 12",2005,12,0.09701,0.00000,1
"01JAN2006","31DEC2006","Cluster 12",2006,12,0.09524,0.00000,1
"01JAN2007","31DEC2007","Cluster 12",2007,12,0.05674,0.00709,1
"01JAN2008","31DEC2008","Cluster 12",2008,12,0.07746,0.00704,1
"01JAN2009","31DEC2009","Cluster 12",2009,12,0.06716,0.00741,1
"01JAN2010","31DEC2010","Cluster 12",2010,12,0.07092,0.00000,1
"01JAN2011","31DEC2011","Cluster 12",2011,12,0.10417,0.00000,1
"01JAN1998","31DEC1998","Cluster 13",1998,13,0.03727,0.01242,1
"01JAN1999","31DEC1999","Cluster 13",1999,13,0.09639,0.00602,1
"01JAN2000","31DEC2000","Cluster 13",2000,13,0.09581,0.01198,1
"01JAN2001","31DEC2001","Cluster 13",2001,13,0.04444,0.00556,1
"01JAN2002","31DEC2002","Cluster 13",2002,13,0.09239,0.00000,1
"01JAN2003","31DEC2003","Cluster 13",2003,13,0.07447,0.00000,1
"01JAN2004","31DEC2004","Cluster 13",2004,13,0.06154,0.01538,1
"01JAN2005","31DEC2005","Cluster 13",2005,13,0.08242,0.00549,1
"01JAN2006","31DEC2006","Cluster 13",2006,13,0.08140,0.00581,1
"01JAN2007","31DEC2007","Cluster 13",2007,13,0.07568,0.02162,1
"01JAN2008","31DEC2008","Cluster 13",2008,13,0.06250,0.00568,1
"01JAN2009","31DEC2009","Cluster 13",2009,13,0.09272,0.00000,1
"01JAN2010","31DEC2010","Cluster 13",2010,13,0.05696,0.00633,1
"01JAN2011","31DEC2011","Cluster 13",2011,13,0.05031,0.00000,1
"01JAN1998","31DEC1998","Cluster 14",1998,14,0.03614,0.01205,1
"01JAN1999","31DEC1999","Cluster 14",1999,14,0.08257,0.00000,1
"01JAN2000","31DEC2000","Cluster 14",2000,14,0.05618,0.03371,1
"01JAN2001","31DEC2001","Cluster 14",2001,14,0.03000,0.01010,1
"01JAN2002","31DEC2002","Cluster 14",2002,14,0.06522,0.03261,1
"01JAN2003","31DEC2003","Cluster 14",2003,14,0.06383,0.01064,1
"01JAN2004","31DEC2004","Cluster 14",2004,14,0.09259,0.01852,1
"01JAN2005","31DEC2005","Cluster 14",2005,14,0.05319,0.00000,1
"01JAN2006","31DEC2006","Cluster 14",2006,14,0.10345,0.01149,1
"01JAN2007","31DEC2007","Cluster 14",2007,14,0.10784,0.00980,1
"01JAN2008","31DEC2008","Cluster 14",2008,14,0.10000,0.01667,1
"01JAN2009","31DEC2009","Cluster 14",2009,14,0.02752,0.00917,1
"01JAN2010","31DEC2010","Cluster 14",2010,14,0.04861,0.00000,1
"01JAN2011","31DEC2011","Cluster 14",2011,14,0.05755,0.00000,1
"01JAN1998","31DEC1998","Cluster 15",1998,15,0.10177,0.01016,1
