"timeframe","zip","zip_nf","start_date","end_date","PctPoorPersons","PctPoorChildren","PctPoorElderly","AvgFamilyIncAdj","PctPoorPersons_m","PctPoorChildren_m","PctPoorElderly_m","AvgFamilyIncAdj_m","PctChgAvgFamilyIncAdj","Tanf_client","Fs_client"
"2012-16","ZIP 20037",20037,"01JAN2000","31DEC2016","X","X","X","X","X","X","X","X",-24,"X","X"
"2012-16","ZIP 20052",20052,"01JAN2000","31DEC2016","X","X","X","X","X","X","X","X",157,"X","X"
"2012-16","ZIP 20057",20057,"01JAN2000","31DEC2016","X","X","X","X","X","X","X","X",".","X","X"
"2012-16","ZIP 20059",20059,"01JAN2000","31DEC2016","X","X","X","X","X","X","X","X",122,"X","X"
"2012-16","ZIP 20064",20064,"01JAN2000","31DEC2016","X","X","X","X","X","X","X","X",3.4,"X","X"
"2012-16","ZIP 20332",20332,"01JAN2000","31DEC2016","X","X","X","X","X","X","X","X",25,"X","X"
"2012-16","ZIP 20336",20336,"01JAN2000","31DEC2016","X","X","X","X","X","X","X","X",25,"X","X"
2000,"ZIP 20001",20001,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",2.3,"X","X"
2000,"ZIP 20002",20002,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",5.8,"X","X"
2000,"ZIP 20003",20003,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",9.7,"X","X"
2000,"ZIP 20004",20004,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",226,"X","X"
2000,"ZIP 20005",20005,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",11,"X","X"
2000,"ZIP 20006",20006,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",-66,"X","X"
2000,"ZIP 20007",20007,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",16,"X","X"
2000,"ZIP 20008",20008,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",11,"X","X"
2000,"ZIP 20009",20009,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",34,"X","X"
2000,"ZIP 20010",20010,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",11,"X","X"
2000,"ZIP 20011",20011,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",2.3,"X","X"
2000,"ZIP 20012",20012,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",0.6,"X","X"
2000,"ZIP 20015",20015,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",21,"X","X"
2000,"ZIP 20016",20016,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",14,"X","X"
2000,"ZIP 20017",20017,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",-12,"X","X"
2000,"ZIP 20018",20018,"01JAN1990","31DEC2000","X","X","X","X","X","X","X","X",5.8,"X","X"
