"timeframe","county","county_nf","start_date","end_date","PctPoorPersons","PctPoorChildren","PctPoorElderly","AvgFamilyIncAdj","PctPoorPersons_m","PctPoorChildren_m","PctPoorElderly_m","AvgFamilyIncAdj_m","PctChgAvgFamilyIncAdj","Tanf_client","Fs_client"
2004,"District of Columbia, DC",11001,"01JAN2004","31DEC2004",".",".",".",".",".",".",".",".",".",48945.5,90023.5
2005,"District of Columbia, DC",11001,"01JAN2005","31DEC2005",".",".",".",".",".",".",".",".",".",48060.0,92056.5
2006,"District of Columbia, DC",11001,"01JAN2006","31DEC2006",".",".",".",".",".",".",".",".",".",44595.0,90811.0
2007,"District of Columbia, DC",11001,"01JAN2007","31DEC2007",".",".",".",".",".",".",".",".",".",42350.0,89391.5
2008,"District of Columbia, DC",11001,"01JAN2008","31DEC2008",".",".",".",".",".",".",".",".",".",42299.5,93090.5
2009,"District of Columbia, DC",11001,"01JAN2009","31DEC2009",".",".",".",".",".",".",".",".",".",45136.0,107618.0
2010,"District of Columbia, DC",11001,"01JAN2010","31DEC2010",".",".",".",".",".",".",".",".",".",46458.5,122237.0
2011,"District of Columbia, DC",11001,"01JAN2011","31DEC2011",".",".",".",".",".",".",".",".",".",47761.5,137370.0
2012,"District of Columbia, DC",11001,"01JAN2012","31DEC2012",".",".",".",".",".",".",".",".",".",48748.5,144583.0
2013,"District of Columbia, DC",11001,"01JAN2013","31DEC2013",".",".",".",".",".",".",".",".",".",48467.5,148425.5
2014,"District of Columbia, DC",11001,"01JAN2014","31DEC2014",".",".",".",".",".",".",".",".",".",47107.0,141854.5
2015,"District of Columbia, DC",11001,"01JAN2015","31DEC2015",".",".",".",".",".",".",".",".",".",44323.5,141202.5

