"timeframe","cluster2017","cluster2017_nf","start_date","end_date","PctPoorPersons","PctPoorChildren","PctPoorElderly","AvgFamilyIncAdj","PctPoorPersons_m","PctPoorChildren_m","PctPoorElderly_m","AvgFamilyIncAdj_m","PctChgAvgFamilyIncAdj","Tanf_client","Fs_client"
"2014-18","Cluster 22","Cluster 22","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",31,"X","X"
"2014-18","Cluster 23","Cluster 23","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",21,"X","X"
"2014-18","Cluster 24","Cluster 24","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",29,"X","X"
"2014-18","Cluster 25","Cluster 25","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",90,"X","X"
"2014-18","Cluster 26","Cluster 26","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",49,"X","X"
"2014-18","Cluster 27","Cluster 27","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",401,"X","X"
"2014-18","Cluster 28","Cluster 28","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",15,"X","X"
"2014-18","Cluster 29","Cluster 29","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",-16,"X","X"
"2014-18","Cluster 30","Cluster 30","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",9.3,"X","X"
"2014-18","Cluster 31","Cluster 31","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",9.4,"X","X"
"2014-18","Cluster 32","Cluster 32","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",15,"X","X"
"2014-18","Cluster 33","Cluster 33","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",5.9,"X","X"
"2014-18","Cluster 34","Cluster 34","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",-4.6,"X","X"
"2014-18","Cluster 35","Cluster 35","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",-0.8,"X","X"
"2014-18","Cluster 36","Cluster 36","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",-2.5,"X","X"
"2014-18","Cluster 37","Cluster 37","01JAN2014","31DEC2018","X","X","X","X","X","X","X","X",55,"X","X"
