"timeframe","psa2012","TotPop","TotPop_m","psa2012_nf","start_date","end_date","PctPopUnder18Years","PctPop65andOverYears","PctForeignBorn","PctBlackNonHispBridge","PctWhiteNonHispBridge","PctHisp","PctAsianPINonHispBridge","PctFamiliesOwnChildrenFH","PctPopUnder18Years_m","PctPop65andOverYears_m","PctForeignBorn_m","PctBlackNonHispBridge_m","PctWhiteNonHispBridge_m","PctHisp_m","PctAPINonHispBridge_m","PctFamiliesOwnChildFH_m","PctChgTotPop","PctChgPopUnder18Years","PctChgPop65andOverYear","indc"
2010,"PSA 604",13174,".",604,"01JAN2010","31DEC2010",29,11,".",96,0.8,2.7,0.2,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 605",8924,".",605,"01JAN2010","31DEC2010",20,20,".",96,1.7,1.7,0.2,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 606",5961,".",606,"01JAN2010","31DEC2010",18,17,".",92,5.2,1.9,0.4,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 607",5670,".",607,"01JAN2010","31DEC2010",21,14,".",95,2.2,1.7,0.4,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 608",8297,".",608,"01JAN2010","31DEC2010",27,13,".",96,0.7,2.2,0.3,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 701",10230,".",701,"01JAN2010","31DEC2010",26,11,".",97,1.6,1.1,0.3,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 702",6840,".",702,"01JAN2010","31DEC2010",32,6.5,".",98,0.7,1.2,0.2,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 703",8549,".",703,"01JAN2010","31DEC2010",33,5.3,".",93,4.4,2.2,0.5,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 704",9794,".",704,"01JAN2010","31DEC2010",34,5.6,".",98,0.6,1.2,0.2,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 705",5713,".",705,"01JAN2010","31DEC2010",31,8.1,".",96,1.1,1.9,0.2,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 706",9494,".",706,"01JAN2010","31DEC2010",30,11,".",98,0.5,1.1,0.2,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 707",8280,".",707,"01JAN2010","31DEC2010",29,6.7,".",80,14,4.2,1.6,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"PSA 708",10900,".",708,"01JAN2010","31DEC2010",28,7.0,".",94,3.0,2.1,0.7,".",".",".",".",".",".",".",".",".","X","X","X",1
2000,"PSA 101",40,".",101,"01JAN2000","31DEC2000",7.2,17,42,14,41,6.2,39,13,".",".",".",".",".",".",".",".","X","X","X",1
2000,"PSA 102",2139,".",102,"01JAN2000","31DEC2000",13,16,30,40,28,5.0,26,39,".",".",".",".",".",".",".",".","X","X","X",1
2000,"PSA 103",5656,".",103,"01JAN2000","31DEC2000",26,15,6.1,90,5.2,2.6,1.8,75,".",".",".",".",".",".",".",".","X","X","X",1
2000,"PSA 104",10558,".",104,"01JAN2000","31DEC2000",18,12,6.2,69,25,3.6,1.7,54,".",".",".",".",".",".",".",".","X","X","X",1
2000,"PSA 105",11779,".",105,"01JAN2000","31DEC2000",15,15,10,67,25,4.3,2.4,72,".",".",".",".",".",".",".",".","X","X","X",1
2000,"PSA 106",6734,".",106,"01JAN2000","31DEC2000",25,9.1,5.0,66,29,3.0,1.8,73,".",".",".",".",".",".",".",".","X","X","X",1
2000,"PSA 107",13919,".",107,"01JAN2000","31DEC2000",9.4,8.3,7.1,25,68,2.9,3.0,26,".",".",".",".",".",".",".",".","X","X","X",1
2000,"PSA 108",13715,".",108,"01JAN2000","31DEC2000",15,11,3.5,75,21,2.7,1.0,49,".",".",".",".",".",".",".",".","X","X","X",1
2000,"PSA 201",14940,".",201,"01JAN2000","31DEC2000",18,22,13,11,78,4.5,5.3,11,".",".",".",".",".",".",".",".","X","X","X",1
2000,"PSA 202",10122,".",202,"01JAN2000","31DEC2000",18,15,18,4.9,83,5.5,5.7,8.8,".",".",".",".",".",".",".",".","X","X","X",1
2000,"PSA 203",17540,".",203,"01JAN2000","31DEC2000",10,16,18,8.4,78,6.8,6.2,13,".",".",".",".",".",".",".",".","X","X","X",1
2000,"PSA 204",22579,".",204,"01JAN2000","31DEC2000",7.5,12,23,5.4,79,7.9,7.3,18,".",".",".",".",".",".",".",".","X","X","X",1
2000,"PSA 205",18849,".",205,"01JAN2000","31DEC2000",13,12,20,5.0,81,6.3,6.0,12,".",".",".",".",".",".",".",".","X","X","X",1
2000,"PSA 206",15035,".",206,"01JAN2000","31DEC2000",5.9,8.1,13,3.9,86,3.8,6.0,9.8,".",".",".",".",".",".",".",".","X","X","X",1
2000,"PSA 207",12425,".",207,"01JAN2000","31DEC2000",1.3,11,19,5.9,75,5.5,13,14,".",".",".",".",".",".",".",".","X","X","X",1
2000,"PSA 208",15573,".",208,"01JAN2000","31DEC2000",4.7,8.3,24,11,70,9.2,8.8,24,".",".",".",".",".",".",".",".","X","X","X",1
