"timeframe","Geo2010","TotPop","geo2010_nf","start_date","end_date","PctPopUnder18Years","PctPop65andOverYears","PctForeignBorn","PctBlackNonHispBridge","PctWhiteNonHispBridge","PctHisp","PctAsianPINonHispBridge","PctFamiliesOwnChildrenFH","PctPopUnder18Years_m","PctPop65andOverYears_m","PctForeignBorn_m","PctBlackNonHispBridge_m","PctWhiteNonHispBridge_m","PctHisp_m","PctAPINonHispBridge_m","PctFamiliesOwnChildFH_m","PctChgTotPop","PctChgPopUnder18Years","PctChgPop65andOverYear","ucounty","indc"
"2012-16","DC Tract 74.07",2901,11001007407,"01JAN2011","31DEC2015",29,9.7,3.0,95,1.5,1.2,0.0,85,6.0,3.8,2.2,2.1,2.0,1.9,0.6,7.9,".",".",".","District of Columbia",1
"2012-16","DC Tract 74.08",3607,11001007408,"01JAN2011","31DEC2015",30,5.0,1.2,93,1.4,1.3,0.0,88,5.3,2.5,1.2,5.2,1.1,1.5,0.5,6.8,".",".",".","District of Columbia",1
"2012-16","DC Tract 74.09",3894,11001007409,"01JAN2011","31DEC2015",32,5.5,4.2,95,0.7,2.9,1.2,84,7.1,1.9,3.6,0.2,0.8,4.6,2.0,5.7,".",".",".","District of Columbia",1
"2012-16","DC Tract 75.02",5164,11001007502,"01JAN2011","31DEC2015",31,11,1.0,98,1.1,0.3,0.0,87,5.3,2.5,0.9,13,0.8,0.4,0.5,4.7,".",".",".","District of Columbia",1
"2012-16","DC Tract 75.03",2648,11001007503,"01JAN2011","31DEC2015",35,8.0,1.9,95,3.9,0.6,0.2,79,5.6,2.7,1.5,5.9,2.3,0.7,0.6,7.4,".",".",".","District of Columbia",1
"2012-16","DC Tract 75.04",2903,11001007504,"01JAN2011","31DEC2015",31,3.9,1.7,99,0.8,0.0,0.0,79,6.0,1.7,1.3,2.0,0.7,0.4,0.6,3.3,".",".",".","District of Columbia",1
"2012-16","DC Tract 76.01",4909,11001007601,"01JAN2011","31DEC2015",22,12,2.4,91,6.0,2.5,0.4,65,5.7,2.6,1.4,5.6,3.4,2.4,0.6,15,".",".",".","District of Columbia",1
"2012-16","DC Tract 76.03",4034,11001007603,"01JAN2011","31DEC2015",21,19,1.9,85,5.2,8.8,0.7,70,5.1,5.3,1.3,6.6,3.0,7.5,0.8,23,".",".",".","District of Columbia",1
"2012-16","DC Tract 76.04",4012,11001007604,"01JAN2011","31DEC2015",21,11,2.8,88,4.6,3.3,0.6,86,6.6,2.5,1.8,4.1,2.4,2.5,0.7,6.6,".",".",".","District of Columbia",1
"2012-16","DC Tract 76.05",3993,11001007605,"01JAN2011","31DEC2015",20,13,7.9,85,2.9,4.9,4.1,44,5.0,2.7,4.8,5.4,1.9,6.2,4.3,16,".",".",".","District of Columbia",1
"2012-16","DC Tract 77.03",5521,11001007703,"01JAN2011","31DEC2015",35,9.8,4.5,94,0.0,5.4,0.5,83,5.8,3.2,6.2,1.9,0.3,7.4,0.9,5.2,".",".",".","District of Columbia",1
"2012-16","DC Tract 77.07",4507,11001007707,"01JAN2011","31DEC2015",31,15,0.2,98,0.0,1.5,0.0,76,5.8,2.1,0.2,2.5,0.3,2.3,0.4,13,".",".",".","District of Columbia",1
"2012-16","DC Tract 77.08",3012,11001007708,"01JAN2011","31DEC2015",25,10,0.0,100,0.0,0.0,0.0,75,7.8,2.8,0.4,0.0,0.4,0.4,0.6,21,".",".",".","District of Columbia",1
"2012-16","DC Tract 77.09",2275,11001007709,"01JAN2011","31DEC2015",17,15,3.4,89,0.9,5.6,0.0,81,4.4,3.2,2.8,2.1,0.7,4.4,0.7,9.4,".",".",".","District of Columbia",1
"2012-16","DC Tract 78.03",3707,11001007803,"01JAN2011","31DEC2015",23,15,8.1,88,1.6,9.1,0.0,72,6.0,3.7,4.6,6.0,1.1,8.2,0.5,12,".",".",".","District of Columbia",1
"2012-16","DC Tract 78.04",3547,11001007804,"01JAN2011","31DEC2015",26,17,6.5,93,0.2,4.9,0.2,63,6.1,6.8,3.2,7.3,0.3,5.0,0.5,17,".",".",".","District of Columbia",1
"2012-16","DC Tract 78.06",2078,11001007806,"01JAN2011","31DEC2015",22,15,2.0,97,2.6,0.1,0.0,71,5.8,3.0,1.4,4.5,2.5,0.2,0.8,7.1,".",".",".","District of Columbia",1
"2012-16","DC Tract 78.07",2317,11001007807,"01JAN2011","31DEC2015",23,9.8,5.5,93,0.9,4.3,0.4,68,5.4,2.3,3.2,4.3,1.2,5.2,0.8,9.7,".",".",".","District of Columbia",1
"2012-16","DC Tract 78.08",3847,11001007808,"01JAN2011","31DEC2015",27,12,15,95,0.3,4.4,0.2,58,6.2,3.0,8.2,2.8,0.4,2.8,0.5,14,".",".",".","District of Columbia",1
"2012-16","DC Tract 78.09",3074,11001007809,"01JAN2011","31DEC2015",23,13,2.5,96,0.5,1.6,0.7,94,5.5,3.6,1.8,2.2,0.7,1.4,1.0,7.8,".",".",".","District of Columbia",1
"2012-16","DC Tract 79.01",3897,11001007901,"01JAN2011","31DEC2015",20,8.3,1.4,72,22,2.7,0.6,55,3.8,2.3,0.9,8.4,1.6,1.6,0.6,17,".",".",".","District of Columbia",1
"2012-16","DC Tract 79.03",1907,11001007903,"01JAN2011","31DEC2015",20,12,3.4,74,18,3.8,1.5,50,4.1,2.3,1.6,8.2,5.2,2.7,1.3,17,".",".",".","District of Columbia",1
