"timeframe","Anc2012","TotPop","TotPop_m","anc2012_nf","start_date","end_date","PctPopUnder18Years","PctPop65andOverYears","PctForeignBorn","PctBlackNonHispBridge","PctWhiteNonHispBridge","PctHisp","PctAsianPINonHispBridge","PctFamiliesOwnChildrenFH","PctPopUnder18Years_m","PctPop65andOverYears_m","PctForeignBorn_m","PctBlackNonHispBridge_m","PctWhiteNonHispBridge_m","PctHisp_m","PctAPINonHispBridge_m","PctFamiliesOwnChildFH_m","PctChgTotPop","PctChgPopUnder18Years","PctChgPop65andOverYear","indc"
1990,"ANC 1B",20762,".","1B","01JAN1990","31DEC1990",21,11,15,80,6.5,12,0.5,61,".",".",".",".",".",".",".",".","X","X","X",1
1990,"ANC 1C",15963,".","1C","01JAN1990","31DEC1990",11,6.4,23,29,51,16,2.5,38,".",".",".",".",".",".",".",".","X","X","X",1
1990,"ANC 1D",11138,".","1D","01JAN1990","31DEC1990",15,11,32,36,35,26,3.0,34,".",".",".",".",".",".",".",".","X","X","X",1
1990,"ANC 2A",11786,".","2A","01JAN1990","31DEC1990",1.4,13,18,5.7,81,5.0,7.4,3.2,".",".",".",".",".",".",".",".","X","X","X",1
1990,"ANC 2B",17368,".","2B","01JAN1990","31DEC1990",6.6,7.0,23,18,62,14,5.4,34,".",".",".",".",".",".",".",".","X","X","X",1
1990,"ANC 2C",1263,".","2C","01JAN1990","31DEC1990",6.3,22,37,44,14,3.5,39,20,".",".",".",".",".",".",".",".","X","X","X",1
1990,"ANC 2D",2751,".","2D","01JAN1990","31DEC1990",7.5,14,20,4.9,84,7.8,2.9,28,".",".",".",".",".",".",".",".","X","X","X",1
1990,"ANC 2E",14220,".","2E","01JAN1990","31DEC1990",5.7,9.3,16,4.5,85,5.7,4.7,22,".",".",".",".",".",".",".",".","X","X","X",1
1990,"ANC 2F",12068,".","2F","01JAN1990","31DEC1990",11,12,20,52,31,13,3.6,50,".",".",".",".",".",".",".",".","X","X","X",1
1990,"ANC 3B",9712,".","3B","01JAN1990","31DEC1990",7.6,15,21,4.3,82,9.2,4.8,31,".",".",".",".",".",".",".",".","X","X","X",1
1990,"ANC 3C",18326,".","3C","01JAN1990","31DEC1990",8.9,19,20,5.4,82,8.6,4.0,13,".",".",".",".",".",".",".",".","X","X","X",1
1990,"ANC 3D",19372,".","3D","01JAN1990","31DEC1990",12,13,18,4.1,86,5.7,4.6,15,".",".",".",".",".",".",".",".","X","X","X",1
1990,"ANC 3E",8999,".","3E","01JAN1990","31DEC1990",15,17,18,4.1,86,5.6,4.1,6.1,".",".",".",".",".",".",".",".","X","X","X",1
1990,"ANC 3F",12005,".","3F","01JAN1990","31DEC1990",10,19,19,6.4,83,6.9,4.1,9.8,".",".",".",".",".",".",".",".","X","X","X",1
1990,"ANC 3G",13743,".","3G","01JAN1990","31DEC1990",19,20,12,8.4,85,3.4,3.3,12,".",".",".",".",".",".",".",".","X","X","X",1
1990,"ANC 4A",16856,".","4A","01JAN1990","31DEC1990",17,15,14,75,17,6.6,1.0,35,".",".",".",".",".",".",".",".","X","X","X",1
