"timeframe","cluster2017","TotPop","TotPop_m","cluster2017_nf","start_date","end_date","PctPopUnder18Years","PctPop65andOverYears","PctForeignBorn","PctBlackNonHispBridge","PctWhiteNonHispBridge","PctHisp","PctAsianPINonHispBridge","PctFamiliesOwnChildrenFH","PctPopUnder18Years_m","PctPop65andOverYears_m","PctForeignBorn_m","PctBlackNonHispBridge_m","PctWhiteNonHispBridge_m","PctHisp_m","PctAPINonHispBridge_m","PctFamiliesOwnChildFH_m","PctChgTotPop","PctChgPopUnder18Years","PctChgPop65andOverYear","indc"
"2010-14","Cluster 33",18305,1022,"Cluster 33","01JAN2010","31DEC2014",28,9.7,2.6,95,1.2,2.3,0.0,73,2.4,1.2,1.4,1.7,0.7,1.2,0.2,5.9,"X","X","X",1
"2010-14","Cluster 34",15708,873,"Cluster 34","01JAN2010","31DEC2014",16,18,3.6,93,2.2,1.8,0.9,60,2.1,1.5,1.4,0.9,0.7,1.0,1.0,8.6,"X","X","X",1
"2010-14","Cluster 35",5626,599,"Cluster 35","01JAN2010","31DEC2014",12,20,3.9,85,5.8,7.7,1.0,74,4.0,3.8,2.0,4.6,2.4,4.9,1.3,14,"X","X","X",1
"2010-14","Cluster 36",8621,736,"Cluster 36","01JAN2010","31DEC2014",31,6.5,1.6,99,0.5,0.5,0.0,88,3.4,1.7,1.2,0.6,0.5,0.5,0.3,5.4,"X","X","X",1
"2010-14","Cluster 37",8408,593,"Cluster 37","01JAN2010","31DEC2014",36,6.0,1.6,97,0.3,1.1,0.3,82,3.7,1.5,0.7,1.8,0.3,0.8,0.4,4.3,"X","X","X",1
"2010-14","Cluster 38",13223,839,"Cluster 38","01JAN2010","31DEC2014",35,6.2,1.6,97,0.9,1.4,0.3,80,3.4,1.2,0.8,1.9,0.5,1.0,0.6,3.9,"X","X","X",1
"2010-14","Cluster 39",29307,1418,"Cluster 39","01JAN2010","31DEC2014",28,8.6,2.5,97,1.2,1.1,0.0,74,1.9,0.8,0.8,1.2,0.5,0.6,0.2,3.7,"X","X","X",1
"2010-14","Cluster 40",384,150,"Cluster 40","01JAN2010","31DEC2014",17,15,20,54,22,20,2.2,32,15,10.0,18,14,16,18,5.1,48,"X","X","X",1
"2010-14","Cluster 41",944,194,"Cluster 41","01JAN2010","31DEC2014",15,19,23,35,42,14,5.0,14,7.5,7.2,11,12,12,13,7.2,22,"X","X","X",1
"2010-14","Cluster 43",789,238,"Cluster 43","01JAN2010","31DEC2014",24,8.4,3.6,92,4.9,1.8,0.2,69,12,5.1,6.1,9.8,6.3,5.3,1.3,29,"X","X","X",1
"2010-14","Cluster 44",5701,772,"Cluster 44","01JAN2010","31DEC2014",34,2.3,5.4,51,39,6.2,0.9,28,3.6,1.4,2.3,9.9,4.9,2.5,0.9,11,"X","X","X",1
"2010-14","Cluster 46",305,140,"Cluster 46","01JAN2010","31DEC2014",19,18,9.4,84,9.9,5.0,0.1,51,12,13,17,25,16,9.1,1.2,52,"X","X","X",1
2010,"Cluster 01",18220,".","Cluster 1","01JAN2010","31DEC2010",7.2,9.0,".",11,69,13,6.8,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"Cluster 02",46275,".","Cluster 2","01JAN2010","31DEC2010",15,7.4,".",37,31,27,4.4,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"Cluster 03",11647,".","Cluster 3","01JAN2010","31DEC2010",7.4,5.5,".",53,33,8.6,4.4,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"Cluster 04",16109,".","Cluster 4","01JAN2010","31DEC2010",7.4,10,".",4.0,81,6.4,8.8,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"Cluster 05",16801,".","Cluster 5","01JAN2010","31DEC2010",1.6,8.1,".",6.7,75,5.7,12,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"Cluster 06",19796,".","Cluster 6","01JAN2010","31DEC2010",2.8,6.9,".",8.2,73,8.3,10,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"Cluster 07",18714,".","Cluster 7","01JAN2010","31DEC2010",11,7.3,".",33,46,14,7.2,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"Cluster 08",17153,".","Cluster 8","01JAN2010","31DEC2010",9.6,9.4,".",33,44,9.5,13,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"Cluster 09",11592,".","Cluster 9","01JAN2010","31DEC2010",13,14,".",56,33,5.2,5.2,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"Cluster 10",14342,".","Cluster 10","01JAN2010","31DEC2010",22,21,".",9.9,78,6.3,5.6,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"Cluster 11",11906,".","Cluster 11","01JAN2010","31DEC2010",19,14,".",5.3,80,6.8,7.8,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"Cluster 12",10551,".","Cluster 12","01JAN2010","31DEC2010",9.1,16,".",8.7,73,7.6,10,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"Cluster 13",15374,".","Cluster 13","01JAN2010","31DEC2010",18,13,".",4.2,81,6.3,7.8,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"Cluster 14",19565,".","Cluster 14","01JAN2010","31DEC2010",7.8,15,".",5.1,78,8.8,7.9,".",".",".",".",".",".",".",".",".","X","X","X",1
2010,"Cluster 15",15156,".","Cluster 15","01JAN2010","31DEC2010",10,12,".",4.4,80,7.6,8.0,".",".",".",".",".",".",".",".",".","X","X","X",1
