"timeframe","Zip","zip_nf","start_date","end_date","Pct25andOverWoutHS","Pct25andOverWoutHS_m","aud","aud_charter","aud_dcps","charter_present","dcps_present","school_present"
2002,"ZIP 20009",20009,"01JAN2002","31DEC2002",".",".",4540,2057,2483,7,6,13
2003,"ZIP 20009",20009,"01JAN2003","31DEC2003",".",".",4884,2482,2402,8,6,14
2004,"ZIP 20009",20009,"01JAN2004","31DEC2004",".",".",4758,2806,1952,13,5,18
2005,"ZIP 20009",20009,"01JAN2005","31DEC2005",".",".",4638,2847,1791,16,5,21
2006,"ZIP 20009",20009,"01JAN2006","31DEC2006",".",".",5149,3304,1845,17,5,22
2007,"ZIP 20009",20009,"01JAN2007","31DEC2007",".",".",5491,3614,1877,18,5,23
2008,"ZIP 20009",20009,"01JAN2008","31DEC2008",".",".",5359,3589,1770,17,5,22
2009,"ZIP 20009",20009,"01JAN2009","31DEC2009",".",".",5722,3808,1914,12,6,18
2010,"ZIP 20009",20009,"01JAN2010","31DEC2010",".",".",5495,3488,2007,10,6,16
2011,"ZIP 20009",20009,"01JAN2011","31DEC2011",".",".",6226,4281,1945,12,6,18
2012,"ZIP 20009",20009,"01JAN2012","31DEC2012",".",".",6567,4564,2003,13,6,19
2013,"ZIP 20009",20009,"01JAN2013","31DEC2013",".",".",7244,5024,2220,13,6,19
2001,"ZIP 20010",20010,"01JAN2001","31DEC2001",".",".",3394,157,3237,1,7,8
2002,"ZIP 20010",20010,"01JAN2002","31DEC2002",".",".",2882,208,2674,1,7,8
2003,"ZIP 20010",20010,"01JAN2003","31DEC2003",".",".",2833,247,2586,1,7,8
2004,"ZIP 20010",20010,"01JAN2004","31DEC2004",".",".",2636,249,2387,1,7,8
2005,"ZIP 20010",20010,"01JAN2005","31DEC2005",".",".",2793,251,2542,1,8,9
2006,"ZIP 20010",20010,"01JAN2006","31DEC2006",".",".",2802,250,2552,3,6,9
2007,"ZIP 20010",20010,"01JAN2007","31DEC2007",".",".",2753,251,2502,3,5,8
2008,"ZIP 20010",20010,"01JAN2008","31DEC2008",".",".",3385,525,2860,3,5,8
2009,"ZIP 20010",20010,"01JAN2009","31DEC2009",".",".",3822,872,2950,4,5,9
2010,"ZIP 20010",20010,"01JAN2010","31DEC2010",".",".",3762,1161,2601,4,5,9
2011,"ZIP 20010",20010,"01JAN2011","31DEC2011",".",".",4161,1105,3056,4,5,9
2012,"ZIP 20010",20010,"01JAN2012","31DEC2012",".",".",4189,1055,3134,5,5,10
2013,"ZIP 20010",20010,"01JAN2013","31DEC2013",".",".",4359,1086,3273,5,5,10
2001,"ZIP 20011",20011,"01JAN2001","31DEC2001",".",".",8071,1558,6513,7,16,23
2002,"ZIP 20011",20011,"01JAN2002","31DEC2002",".",".",8454,1856,6598,8,17,25
2003,"ZIP 20011",20011,"01JAN2003","31DEC2003",".",".",8233,1971,6262,8,17,25
2004,"ZIP 20011",20011,"01JAN2004","31DEC2004",".",".",8118,2362,5756,9,17,26
2005,"ZIP 20011",20011,"01JAN2005","31DEC2005",".",".",7536,2579,4957,12,16,28
2006,"ZIP 20011",20011,"01JAN2006","31DEC2006",".",".",7400,2701,4699,13,16,29
2007,"ZIP 20011",20011,"01JAN2007","31DEC2007",".",".",7826,3331,4495,18,16,34
2008,"ZIP 20011",20011,"01JAN2008","31DEC2008",".",".",8312,4061,4251,21,13,34
2009,"ZIP 20011",20011,"01JAN2009","31DEC2009",".",".",8580,4207,4373,18,14,32
2010,"ZIP 20011",20011,"01JAN2010","31DEC2010",".",".",8693,4094,4599,17,13,30
2011,"ZIP 20011",20011,"01JAN2011","31DEC2011",".",".",8985,4400,4585,17,13,30
2012,"ZIP 20011",20011,"01JAN2012","31DEC2012",".",".",10057,5158,4899,19,13,32
